top - 01:55:04 up  1:00,  0 users,  load average: 1.67, 1.61, 1.31
Tasks: 327 total,   2 running, 247 sleeping,   0 stopped,   0 zombie
%Cpu(s): 29.9 us, 16.4 sy,  0.0 ni, 50.0 id,  3.7 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 16082196 total, 10305780 free,  2488192 used,  3288224 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used. 12771592 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
    883 65534     20   0       0      0      0 S   0.0  0.0   0:00.00 dbu_evict
    884 65534     39  19       0      0      0 S   0.0  0.0   0:00.04 dbuf_evi+
    885 65534     39  19       0      0      0 S   0.0  0.0   0:00.00 z_vdev_f+
    886 65534     20   0       0      0      0 S   0.0  0.0   0:00.03 l2arc_fe+
    926 65534     20   0    8104   4004   3564 S   0.0  0.0   0:00.00 rpcbind
    933 65534     20   0   26596  14624   9512 S   0.0  0.1   0:00.86 systemd-+
    939 65534     20   0  240680   8076   6888 S   0.0  0.1   0:00.14 accounts+
    940 65534     20   0    2816   1124   1036 S   0.0  0.0   0:00.34 acpid
    948 65534     20   0    7708   4024   3508 S   0.0  0.0   0:00.11 avahi-da+
    951 65534     20   0   10628   5164   4772 S   0.0  0.0   0:00.08 bluetoot+
    953 65534     20   0    9500   2872   2616 S   0.0  0.0   0:00.01 cron
    955 65534     20   0    9988   5980   4000 S   0.0  0.0   0:00.41 dbus-dae+
    957 65534     20   0  409920  19928  16020 S   0.0  0.1   0:00.35 NetworkM+
    967 65534     20   0   82804   3800   3444 S   0.0  0.0   0:00.14 irqbalan+
    980 65534     20   0   41372  21896  12156 S   0.0  0.1   0:00.11 networkd+
    985 65534     20   0  237128   9920   6832 S   0.0  0.1   0:00.22 polkitd
    987 65534     20   0  222728   5008   3736 S   0.0  0.0   0:00.06 rsyslogd
    988 65534     20   0  749380   2776   2416 S   0.0  0.0   0:00.10 nscd
    994 65534     20   0  236388   6436   5884 S   0.0  0.0   0:00.02 switcher+
   1010 65534     20   0   48448   8036   6812 S   0.0  0.0   0:00.12 systemd-+
   1021 65534     20   0  276200  10644   9636 S   0.0  0.1   0:19.86 thermald
   1022 65534     20   0  184928  14564  12500 S   0.0  0.1   0:06.78 touchegg
